pub_date;amnt_base;amnt_trade;id;price;type;user;
16 декабря 2017 г. 20:23:56;1540.8628600000;0.1665980000;333272;9248.9877429501;sell;yura2986;
16 декабря 2017 г. 20:23:56;1540.8628600000;0.1665980000;333271;9248.9877429501;buy;BMW5511;
16 декабря 2017 г. 20:23:56;207.9782720000;0.0224890000;333270;9248.0000000000;sell;Oxaramambyry;
16 декабря 2017 г. 20:23:56;207.9782720000;0.0224890000;333269;9248.0000000000;buy;BMW5511;
16 декабря 2017 г. 20:23:56;628.5495680000;0.0679660000;333268;9248.0000000000;sell;svetlana5;
16 декабря 2017 г. 20:23:56;628.5495680000;0.0679660000;333267;9248.0000000000;buy;BMW5511;
16 декабря 2017 г. 20:23:56;647.3593000000;0.0700000000;333266;9247.9900000000;sell;mburlaka;
16 декабря 2017 г. 20:23:56;647.3593000000;0.0700000000;333265;9247.9900000000;buy;BMW5511;
16 декабря 2017 г. 20:22:11;184.9596000000;0.0200000000;333234;9247.9800000000;sell;anbauak;
16 декабря 2017 г. 20:22:11;184.9596000000;0.0200000000;333233;9247.9800000000;buy;BMW5511;
16 декабря 2017 г. 20:17:34;1593.3242150000;0.1722890000;333140;9247.9741306758;buy;Beilis13;
16 декабря 2017 г. 20:17:34;1593.3242150000;0.1722890000;333139;9247.9741306758;sell;Ed2018;
16 декабря 2017 г. 20:12:04;495.2503070000;0.0535520000;333010;9248.0263482223;buy;Beilis13;
16 декабря 2017 г. 20:12:04;495.2503070000;0.0535520000;333009;9248.0263482223;sell;iceanothers;
16 декабря 2017 г. 20:10:12;461.9189250000;0.0499750000;332968;9243.0000000000;sell;tsigor;
16 декабря 2017 г. 20:10:12;461.9189250000;0.0499750000;332967;9243.0000000000;buy;Beilis13;
16 декабря 2017 г. 20:10:12;2258.4613530000;0.2485380000;332966;9086.9861067523;sell;martinyukluba;
16 декабря 2017 г. 20:10:12;2258.4613530000;0.2485380000;332965;9086.9861067523;buy;Beilis13;
16 декабря 2017 г. 20:08:00;1422.7560000000;0.1580840000;332900;9000.0000000000;buy;gvch;
16 декабря 2017 г. 20:08:00;1422.7560000000;0.1580840000;332899;9000.0000000000;sell;yura2986;
16 декабря 2017 г. 20:08:00;585.9332000000;0.0647440000;332898;9050.0000000000;buy;bravephilae;
16 декабря 2017 г. 20:08:00;585.9332000000;0.0647440000;332897;9050.0000000000;sell;yura2986;
16 декабря 2017 г. 20:08:00;167.9073600000;0.0184920000;332896;9080.0000000000;buy;kinder214;
16 декабря 2017 г. 20:08:00;167.9073600000;0.0184920000;332895;9080.0000000000;sell;yura2986;
16 декабря 2017 г. 20:08:00;454.0500000000;0.0500000000;332894;9081.0000000000;buy;xDanbo;
16 декабря 2017 г. 20:08:00;454.0500000000;0.0500000000;332893;9081.0000000000;sell;yura2986;
16 декабря 2017 г. 20:07:21;520.9497270000;0.0573670000;332874;9081.0000000000;buy;xDanbo;
16 декабря 2017 г. 20:07:21;520.9497270000;0.0573670000;332873;9081.0000000000;sell;yura2986;
16 декабря 2017 г. 20:07:21;454.3000000000;0.0500000000;332872;9086.0000000000;buy;tsigor;
16 декабря 2017 г. 20:07:21;454.3000000000;0.0500000000;332871;9086.0000000000;sell;yura2986;
16 декабря 2017 г. 20:07:12;172.6530000000;0.0190000000;332860;9087.0000000000;buy;tarvinik;
16 декабря 2017 г. 20:07:12;172.6530000000;0.0190000000;332859;9087.0000000000;sell;martinyukluba;
16 декабря 2017 г. 20:03:03;181.7402000000;0.0200000000;332766;9087.0100000000;buy;anbauak;
16 декабря 2017 г. 20:03:03;181.7402000000;0.0200000000;332765;9087.0100000000;sell;martinyukluba;
16 декабря 2017 г. 19:32:30;286.4400000000;0.0310000000;331888;9240.0000000000;buy;kornden;
16 декабря 2017 г. 19:32:30;286.4400000000;0.0310000000;331887;9240.0000000000;sell;yura2986;
16 декабря 2017 г. 19:02:43;1237.2360000000;0.1339000000;330864;9240.0000000000;buy;lusynoleq;
16 декабря 2017 г. 19:02:43;1237.2360000000;0.1339000000;330863;9240.0000000000;sell;yura2986;
16 декабря 2017 г. 18:47:00;1600.2501000000;0.1730000000;330092;9250.0005780347;sell;yura2986;
16 декабря 2017 г. 18:47:00;1600.2501000000;0.1730000000;330091;9250.0005780347;buy;denchuk;
16 декабря 2017 г. 18:47:00;92.4999000000;0.0100000000;330090;9249.9900000000;sell;anbauak;
16 декабря 2017 г. 18:47:00;92.4999000000;0.0100000000;330089;9249.9900000000;buy;denchuk;
16 декабря 2017 г. 18:43:19;370.0000000000;0.0400000000;329866;9250.0000000000;buy;semmy;
16 декабря 2017 г. 18:43:19;370.0000000000;0.0400000000;329865;9250.0000000000;sell;Cupriynovandrew;
16 декабря 2017 г. 18:43:19;829.3457500000;0.0896590000;329864;9250.0000000000;buy;Loginless;
16 декабря 2017 г. 18:43:19;829.3457500000;0.0896590000;329863;9250.0000000000;sell;Cupriynovandrew;
16 декабря 2017 г. 18:43:19;402.8745000000;0.0435540000;329862;9250.0000000000;buy;gladkovishe;
16 декабря 2017 г. 18:43:19;402.8745000000;0.0435540000;329861;9250.0000000000;sell;Cupriynovandrew;
16 декабря 2017 г. 18:15:01;1850.0000000000;0.2000000000;329228;9250.0000000000;sell;Straiker;
