pub_date;amnt_base;amnt_trade;id;price;type;user
16 декабря 2017 г. 20:24:41;157.0470000000;0.0030000000;333276;52349.0000000000;sell;svetlana5
16 декабря 2017 г. 20:24:41;157.0470000000;0.0030000000;333275;52349.0000000000;buy;Zolotoy
16 декабря 2017 г. 20:21:07;4341.4182810000;0.0829310000;333198;52349.7640327501;sell;gulchuktaras
16 декабря 2017 г. 20:21:07;4341.4182810000;0.0829310000;333197;52349.7640327501;buy;MiskyS
16 декабря 2017 г. 20:21:07;523.2282550000;0.0099950000;333196;52349.0000000000;sell;tsigor
16 декабря 2017 г. 20:21:07;523.2282550000;0.0099950000;333195;52349.0000000000;buy;MiskyS
16 декабря 2017 г. 20:21:07;181.5521790000;0.0034980000;333194;51901.7092624357;sell;viktor001
16 декабря 2017 г. 20:21:07;181.5521790000;0.0034980000;333193;51901.7092624357;buy;MiskyS
16 декабря 2017 г. 20:21:07;188.8012860000;0.0036380000;333192;51897.0000000000;sell;Oxaramambyry
16 декабря 2017 г. 20:21:07;188.8012860000;0.0036380000;333191;51897.0000000000;buy;MiskyS
16 декабря 2017 г. 20:16:21;51.6000000000;0.0010000000;333100;51600.0000000000;sell;mahabon
16 декабря 2017 г. 20:16:21;51.6000000000;0.0010000000;333099;51600.0000000000;buy;MiskyS
16 декабря 2017 г. 20:11:27;140.7600000000;0.0027600000;332988;51000.0000000000;sell;alexey11011
16 декабря 2017 г. 20:11:27;140.7600000000;0.0027600000;332987;51000.0000000000;buy;w007ag
16 декабря 2017 г. 20:11:27;19.9859430000;0.0003920000;332986;50984.5484693878;sell;Maltcman
16 декабря 2017 г. 20:11:27;19.9859430000;0.0003920000;332985;50984.5484693878;buy;w007ag
16 декабря 2017 г. 20:09:47;101.9979600000;0.0020000000;332954;50998.9800000000;sell;anbauak
16 декабря 2017 г. 20:09:47;101.9979600000;0.0020000000;332953;50998.9800000000;buy;w007ag
16 декабря 2017 г. 20:01:42;107.6078690000;0.0021100000;332740;50998.9900473934;buy;focs76
16 декабря 2017 г. 20:01:42;107.6078690000;0.0021100000;332739;50998.9900473934;sell;EvgMelnik
16 декабря 2017 г. 19:26:38;1200.0000000000;0.0240000000;331690;50000.0000000000;buy;Boggi
16 декабря 2017 г. 19:26:38;1200.0000000000;0.0240000000;331689;50000.0000000000;sell;zopper
16 декабря 2017 г. 19:23:52;99.9979800000;0.0020000000;331628;49998.9900000000;sell;anbauak
16 декабря 2017 г. 19:23:52;99.9979800000;0.0020000000;331627;49998.9900000000;buy;Boggi
16 декабря 2017 г. 19:20:50;98.0142230000;0.0020000000;331552;49007.1115000000;sell;SweetyLizard
16 декабря 2017 г. 19:20:50;98.0142230000;0.0020000000;331551;49007.1115000000;buy;Kirdna
16 декабря 2017 г. 19:15:47;490.1300000000;0.0100000000;331414;49013.0000000000;sell;SweetyLizard
16 декабря 2017 г. 19:15:47;490.1300000000;0.0100000000;331413;49013.0000000000;buy;tsigor
16 декабря 2017 г. 19:14:29;98.0240400000;0.0020000000;331358;49012.0200000000;sell;SweetyLizard
16 декабря 2017 г. 19:14:29;98.0240400000;0.0020000000;331357;49012.0200000000;buy;anbauak
16 декабря 2017 г. 19:14:28;98.0240200000;0.0020000000;331356;49012.0100000000;buy;anbauak
16 декабря 2017 г. 19:14:28;98.0240200000;0.0020000000;331355;49012.0100000000;sell;SweetyLizard
16 декабря 2017 г. 18:59:42;81.9997460000;0.0016080000;330764;50994.8669154229;sell;Maltcman
16 декабря 2017 г. 18:59:42;81.9997460000;0.0016080000;330763;50994.8669154229;buy;talambus8
16 декабря 2017 г. 18:53:49;4843.9294280000;0.0949810000;330462;50998.9306071741;sell;Maltcman
16 декабря 2017 г. 18:53:49;4843.9294280000;0.0949810000;330461;50998.9306071741;buy;Ivanpol
16 декабря 2017 г. 18:53:49;101.9979600000;0.0020000000;330460;50998.9800000000;sell;anbauak
16 декабря 2017 г. 18:53:49;101.9979600000;0.0020000000;330459;50998.9800000000;buy;Ivanpol
16 декабря 2017 г. 18:50:39;60.7907960000;0.0011920000;330274;50998.9899328859;buy;gladkovishe
16 декабря 2017 г. 18:50:39;60.7907960000;0.0011920000;330273;50998.9899328859;sell;Maltcman
16 декабря 2017 г. 18:44:13;509.7350050000;0.0099950000;329960;50999.0000000000;sell;EvgMelnik
16 декабря 2017 г. 18:44:13;509.7350050000;0.0099950000;329959;50999.0000000000;buy;puma
16 декабря 2017 г. 18:42:43;2013.4389950000;0.0394790000;329810;51000.2531725728;sell;EvgMelnik
16 декабря 2017 г. 18:42:43;2013.4389950000;0.0394790000;329809;51000.2531725728;buy;Ivanpol
16 декабря 2017 г. 18:42:43;509.7350050000;0.0099950000;329808;50999.0000000000;sell;tsigor
16 декабря 2017 г. 18:42:43;509.7350050000;0.0099950000;329807;50999.0000000000;buy;Ivanpol
16 декабря 2017 г. 18:15:46;289.0398670000;0.0058870000;329268;49097.9899779174;buy;btcArkada
