pub_date;amnt_base;amnt_trade;id;price;type;user
21 декабря 2017 г. 19:52:41;0.0009990000;1.9980000000;453118;0.0005000000;sell;core;
21 декабря 2017 г. 19:52:41;0.0009990000;1.9980000000;453117;0.0005000000;buy;Alexles;
21 декабря 2017 г. 18:32:13;0.0001820000;0.3963790000;451170;0.0004591565;sell;kustas61180;
21 декабря 2017 г. 18:32:12;0.0001820000;0.3963790000;451169;0.0004591565;buy;Explorer;
21 декабря 2017 г. 18:19:46;0.0007380000;1.6035210000;450774;0.0004602372;buy;Explorer;
21 декабря 2017 г. 18:19:46;0.0007380000;1.6035210000;450773;0.0004602372;sell;kustas61180;
21 декабря 2017 г. 22:59:49;0.0000010000;0.0020000000;456398;0.0005000000;sell;core;
21 декабря 2017 г. 23:34:53;0.0003270000;0.5890290000;456858;0.0005551509;sell;Zhurf;
21 декабря 2017 г. 23:34:53;0.0003270000;0.5890290000;456857;0.0005551509;buy;banane;
21 декабря 2017 г. 23:34:53;0.0003730000;0.6783620000;456856;0.0005498539;sell;Zhurf;
21 декабря 2017 г. 23:34:53;0.0003730000;0.6783620000;456855;0.0005498539;buy;banane;
22 декабря 2017 г. 10:03:02;0.0000710000;0.1541160000;464123;0.0004606919;sell;kustas61180;
22 декабря 2017 г. 19:14:58;0.0004650000;0.9995000000;480692;0.0004652326;buy;AvgustZ;
22 декабря 2017 г. 19:14:58;0.0004650000;0.9995000000;480691;0.0004652326;sell;viktor765;
22 декабря 2017 г. 23:04:39;0.0000060000;0.0100000000;485862;0.0006000000;sell;ruzo707;
23 декабря 2017 г. 15:09:46;0.0013380000;2.9083000000;496720;0.0004600626;buy;AvgustZ;
23 декабря 2017 г. 15:09:46;0.0013380000;2.9083000000;496719;0.0004600626;sell;Alexs;
26 декабря 2017 г. 16:32:54;0.0004950000;1.1000000000;561266;0.0004500000;buy;core;
26 декабря 2017 г. 16:32:54;0.0004950000;1.1000000000;561265;0.0004500000;sell;OleksijR;
28 декабря 2017 г. 11:54:49;0.0003960000;0.9908700000;590910;0.0003996488;buy;core;
28 декабря 2017 г. 11:54:49;0.0003960000;0.9908700000;590909;0.0003996488;sell;sanok;
28 декабря 2017 г. 11:49:20;0.0000050000;0.0101000000;590793;0.0004950495;sell;sanok;
28 декабря 2017 г. 11:49:20;0.0004140000;0.9208880000;590792;0.0004495661;buy;core;
28 декабря 2017 г. 11:49:20;0.0004140000;0.9208880000;590791;0.0004495661;sell;sanok;
29 декабря 2017 г. 11:50:05;0.0001160000;0.1958010000;604938;0.0005924382;sell;sera27;
29 декабря 2017 г. 11:50:05;0.0001160000;0.1958010000;604937;0.0005924382;buy;Serg2552;
30 декабря 2017 г. 12:59:54;0.0005960000;1.0100000000;625492;0.0005900990;sell;AvgustZ;
30 декабря 2017 г. 12:59:54;0.0005960000;1.0100000000;625491;0.0005900990;buy;waranry;
31 декабря 2017 г. 22:57:08;0.0011800000;2.0000000000;636662;0.0005900000;sell;AvgustZ;
31 декабря 2017 г. 22:57:08;0.0011800000;2.0000000000;636661;0.0005900000;buy;Wolf13;
1 января 2018 г. 4:20:25;0.0004150000;1.0094950000;637630;0.0004110966;buy;ruzo707;
1 января 2018 г. 4:20:25;0.0004150000;1.0094950000;637629;0.0004110966;sell;waranry;
2 января 2018 г. 20:42:27;0.0000060000;0.0101000000;661988;0.0005940594;sell;sanyok523;
2 января 2018 г. 20:42:27;0.0006190000;1.0498850000;661986;0.0005895883;sell;AvgustZ;
2 января 2018 г. 20:42:27;0.0006190000;1.0498850000;661985;0.0005895883;buy;pasand;
3 января 2018 г. 12:18:53;0.0004050000;0.9652190000;674443;0.0004195938;buy;EvgeniyTreyd;
3 января 2018 г. 12:18:53;0.0004050000;0.9652190000;674442;0.0004195938;sell;ilyaBS;
